Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="Insightec",="https://finder.startupnationcentral.org/company_page/insightec",="MR-guided Focused Ultrasound Systems",="Life Sciences & HealthTech",="1999",="201-500",="F",
="DPE medical",="https://finder.startupnationcentral.org/company_page/dpe-medical",="Adjustable Stair Trainer",="Life Sciences & HealthTech",="1997",="1-10",="Mature",
="Todos Medical",="https://finder.startupnationcentral.org/company_page/todos-medical",="Diagnostic Testing Solutions for the Immune System",="Life Sciences & HealthTech",="2009",="11-50",="Public",
="Rimed",="https://finder.startupnationcentral.org/company_page/rimed",="Noninvasive Transcranial Doppler System",="Life Sciences & HealthTech",="1982",="51-200",="Mature",
="Stem Cell Medicine",="https://finder.startupnationcentral.org/company_page/stem-cell-medicine",="Stem Cell Therapeutic Technology",="Life Sciences & HealthTech",="2010",="11-50",="Seed",
="CogniFit",="https://finder.startupnationcentral.org/company_page/cognifit",="Individualized Cognitive Training Tools",="Life Sciences & HealthTech",="1999",="51-200",="Mature",
="BrainStorm",="https://finder.startupnationcentral.org/company_page/brainstorm",="Autologous Stem Cell Therapeutics for Neurodegenerative Disorders",="Life Sciences & HealthTech",="2000",="11-50",="Public",
="AttenGo",="https://finder.startupnationcentral.org/company_page/attengo",="Online Neurocognitive Training Program",="Life Sciences & HealthTech",="2006",="11-50",="Mature",
="InspireMD",="https://finder.startupnationcentral.org/company_page/inspiremd",="Stent System Technology for Preventing Embolization",="Life Sciences & HealthTech",="2005",="51-200",="Public",
="Viasonix",="https://finder.startupnationcentral.org/company_page/viasonix",="Advanced Vascular Diagnostic and Home Care Products",="Life Sciences & HealthTech",="2008",="11-50",="Mature",
="SensoryTreat",="https://finder.startupnationcentral.org/company_page/sensorytreat",="Sensory Integration Therapy Platform",="Life Sciences & HealthTech",="2014",="1-10",="Pre-Funding",
="Bendit",="https://finder.startupnationcentral.org/company_page/bendit-technologies",="Miniaturized Vascular Navigation",="Life Sciences & HealthTech",="2013",="11-50",="Mature",
="BlueWind Medical",="https://finder.startupnationcentral.org/company_page/bluewind-medical",="Miniature Wireless Neuro-stimulation Devices",="Life Sciences & HealthTech",="2010",="51-200",="B",
="Nurami Medical",="https://finder.startupnationcentral.org/company_page/nurami-medical",="Nanofiber Technologies for Surgical Use",="Life Sciences & HealthTech",="2014",="1-10",="B",
="Omeq Medical",="https://finder.startupnationcentral.org/company_page/omeq-medical",="Smart Device for Epidural Injections",="Life Sciences & HealthTech",="2011",="1-10",="Seed",
="EyeControl",="https://finder.startupnationcentral.org/company_page/eyecontrol",="Wearable Assistive Communication Device",="Life Sciences & HealthTech",="2016",="11-50",="A",
="Innovision Labs",="https://finder.startupnationcentral.org/company_page/glassesoff",="Enhancing Human Image Processing",="Life Sciences & HealthTech",="2007",="1-10",="Public",
="Alpha Omega",="https://finder.startupnationcentral.org/company_page/alpha-omega",="Functional Neurosurgery and Neuroscience Research Solutions",="Life Sciences & HealthTech",="1993",="51-200",="Seed",
="BrainsGate",="https://finder.startupnationcentral.org/company_page/brainsgate",="Minimally Invasive Treatment for Central Nervous System Diseases",="Life Sciences & HealthTech",="2000",="11-50",="F",
="Nyxoah",="https://finder.startupnationcentral.org/company_page/nyxoah",="Hypoglossal Nerve Stimulation Therapy for Obstructive Sleep Apnea",="Life Sciences & HealthTech",="2008",="51-200",="Public",
="miCure Therapeutics",="https://finder.startupnationcentral.org/company_page/micure-therapeutics",="MicroRNA Therapeutics for CNS Disorders",="Life Sciences & HealthTech",="2013",="1-10",="Mature",
="Voiceitt",="https://finder.startupnationcentral.org/company_page/voiceitt",="Voice Recognition Technology for Non-standard Speech",="Life Sciences & HealthTech",="2012",="11-50",="A",
="Mon4t",="https://finder.startupnationcentral.org/company_page/montfort-brain-monitor",="Brain Monitor and Remote Treatment App",="Life Sciences & HealthTech",="2014",="1-10",="Mature",
="Anima Biotech",="https://finder.startupnationcentral.org/company_page/anima-biotech",="Small-molecule mRNA Drug Discovery",="Life Sciences & HealthTech",="2014",="51-200",="Seed",
="Orpheus Medical",="https://finder.startupnationcentral.org/company_page/orpheus-medical",="Clinical Video and Imaging Documentation Solutions",="Life Sciences & HealthTech",="2010",="11-50",="Acquired",
="Omega Life Science",="https://finder.startupnationcentral.org/company_page/omega-life-science",="Medical Devices for Aerosol Drug Delivery",="Life Sciences & HealthTech",="2011",="1-10",="Mature",
="Taro Pharmaceutical Industries",="https://finder.startupnationcentral.org/company_page/taro-pharmaceutical-industries","Topical Pharmaceutical, Dermatological, and Cosmetic Products",="Life Sciences & HealthTech",="1959",="500+",="Public",
="Enopace Biomedical",="https://finder.startupnationcentral.org/company_page/enopace-biomedical",="Minimally Invasive Neurostimulation Device for Heart Failure",="Life Sciences & HealthTech",="2007",="11-50",="B",
="Eco Fusion",="https://finder.startupnationcentral.org/company_page/eco-fusion",="Personalized Neuro-digital Therapeutics Platform",="Life Sciences & HealthTech",="2014",="1-10",="Mature",
="PamBio",="https://finder.startupnationcentral.org/company_page/pambio",="Antifibrinolytic Therapy for Acute Bleeding Conditions",="Life Sciences & HealthTech",="2014",="1-10",="A",
="Isotopia Molecular Imaging",="https://finder.startupnationcentral.org/company_page/isotopia",="Radioactive Isotopes for Nuclear Therapy",="Life Sciences & HealthTech",="2007",="51-200",="Mature",
="SipNose",="https://finder.startupnationcentral.org/company_page/sipnose",="Intranasal Drug-delivery Platform",="Life Sciences & HealthTech",="2011",="1-10",="Mature",
